VoteKit RankProfile
Candidates
(D6:D6),(R3:R3),(R2:R2),(R1:R1),(D1:D1),(D3:D3),(D5:D5),(D7:D7),(D2:D2),(D4:D4)
Max Ranking Length
10
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
Ranking_1,Ranking_2,Ranking_3,Ranking_4,Ranking_5,Ranking_6,Ranking_7,Ranking_8,Ranking_9,Ranking_10,&,Weight,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D5'},{'D6'},{'D7'},{'R1'},{'R2'},{'R3'},&,74.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D5'},{'D6'},{'D7'},{'R2'},{'R1'},{'R3'},&,14.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D5'},{'D6'},{'R2'},{'R1'},{'D7'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D5'},{'D6'},{'R2'},{'D7'},{'R1'},{'R3'},&,6.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D5'},{'D6'},{'R1'},{'D7'},{'R2'},{'R3'},&,30.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D5'},{'D6'},{'R1'},{'R2'},{'D7'},{'R3'},&,7.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D5'},{'D6'},{'R1'},{'R2'},{'R3'},{'D7'},&,1.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D5'},{'R1'},{'D6'},{'D7'},{'R2'},{'R3'},&,6.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D5'},{'R1'},{'D6'},{'R2'},{'D7'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D5'},{'R1'},{'D6'},{'R2'},{'R3'},{'D7'},&,1.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D5'},{'R2'},{'R1'},{'D6'},{'D7'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D5'},{'R2'},{'D6'},{'R1'},{'D7'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D5'},{'R2'},{'D6'},{'R1'},{'R3'},{'D7'},&,1.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D5'},{'R2'},{'D6'},{'D7'},{'R1'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D6'},{'D5'},{'D7'},{'R1'},{'R2'},{'R3'},&,208.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D6'},{'D5'},{'D7'},{'R2'},{'R1'},{'R3'},&,56.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D6'},{'D5'},{'R2'},{'R1'},{'D7'},{'R3'},&,2.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D6'},{'D5'},{'R2'},{'D7'},{'R1'},{'R3'},&,13.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D6'},{'D5'},{'R1'},{'D7'},{'R2'},{'R3'},&,44.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D6'},{'D5'},{'R1'},{'R2'},{'D7'},{'R3'},&,13.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D6'},{'D5'},{'R1'},{'R2'},{'R3'},{'D7'},&,4.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D6'},{'D7'},{'R2'},{'D5'},{'R1'},{'R3'},&,4.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D6'},{'D7'},{'R1'},{'R2'},{'R3'},{'D5'},&,1.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D6'},{'D7'},{'R1'},{'R2'},{'D5'},{'R3'},&,2.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D6'},{'D7'},{'R1'},{'D5'},{'R2'},{'R3'},&,7.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D6'},{'D7'},{'D5'},{'R1'},{'R2'},{'R3'},&,48.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D6'},{'D7'},{'D5'},{'R1'},{'R3'},{'R2'},&,1.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D6'},{'D7'},{'D5'},{'R2'},{'R1'},{'R3'},&,6.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D6'},{'R1'},{'D7'},{'R2'},{'D5'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D6'},{'R1'},{'D7'},{'D5'},{'R2'},{'R3'},&,4.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D6'},{'R1'},{'R2'},{'D7'},{'D5'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D6'},{'R1'},{'D5'},{'D7'},{'R2'},{'R3'},&,10.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D6'},{'R1'},{'D5'},{'D7'},{'R3'},{'R2'},&,1.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D6'},{'R1'},{'D5'},{'R2'},{'D7'},{'R3'},&,3.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D6'},{'R1'},{'D5'},{'R2'},{'R3'},{'D7'},&,1.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D6'},{'R2'},{'D5'},{'R1'},{'D7'},{'R3'},&,2.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D6'},{'R2'},{'D5'},{'D7'},{'R1'},{'R3'},&,4.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D7'},{'D5'},{'D6'},{'R1'},{'R2'},{'R3'},&,13.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D7'},{'D5'},{'D6'},{'R2'},{'R1'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D7'},{'D6'},{'R1'},{'D5'},{'R2'},{'R3'},&,3.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D7'},{'D6'},{'D5'},{'R1'},{'R2'},{'R3'},&,13.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D7'},{'D6'},{'D5'},{'R2'},{'R1'},{'R3'},&,3.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D7'},{'R1'},{'D6'},{'R2'},{'D5'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D7'},{'R1'},{'D6'},{'D5'},{'R2'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'D7'},{'R1'},{'D5'},{'D6'},{'R2'},{'R3'},&,2.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'R1'},{'D5'},{'D6'},{'D7'},{'R2'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'R1'},{'D6'},{'D5'},{'D7'},{'R2'},{'R3'},&,2.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'R2'},{'D5'},{'D7'},{'D6'},{'R1'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'R2'},{'D7'},{'D5'},{'D6'},{'R1'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'R2'},{'D6'},{'D7'},{'D5'},{'R1'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D2'},{'D1'},{'R2'},{'D6'},{'D5'},{'R1'},{'D7'},{'R3'},&,2.0,&
{'D4'},{'D3'},{'D2'},{'D5'},{'D6'},{'D7'},{'D1'},{'R1'},{'R2'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D2'},{'D5'},{'D6'},{'R1'},{'D1'},{'D7'},{'R2'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D2'},{'D5'},{'D6'},{'D1'},{'D7'},{'R1'},{'R2'},{'R3'},&,13.0,&
{'D4'},{'D3'},{'D2'},{'D5'},{'D6'},{'D1'},{'D7'},{'R2'},{'R1'},{'R3'},&,3.0,&
{'D4'},{'D3'},{'D2'},{'D5'},{'D6'},{'D1'},{'R2'},{'D7'},{'R1'},{'R3'},&,2.0,&
{'D4'},{'D3'},{'D2'},{'D5'},{'D6'},{'D1'},{'R1'},{'D7'},{'R2'},{'R3'},&,5.0,&
{'D4'},{'D3'},{'D2'},{'D5'},{'D1'},{'D7'},{'R1'},{'D6'},{'R2'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D2'},{'D5'},{'D1'},{'D7'},{'D6'},{'R1'},{'R2'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D2'},{'D5'},{'D1'},{'D6'},{'D7'},{'R1'},{'R2'},{'R3'},&,34.0,&
{'D4'},{'D3'},{'D2'},{'D5'},{'D1'},{'D6'},{'D7'},{'R2'},{'R1'},{'R3'},&,6.0,&
{'D4'},{'D3'},{'D2'},{'D5'},{'D1'},{'D6'},{'R2'},{'R1'},{'R3'},{'D7'},&,1.0,&
{'D4'},{'D3'},{'D2'},{'D5'},{'D1'},{'D6'},{'R1'},{'D7'},{'R2'},{'R3'},&,9.0,&
{'D4'},{'D3'},{'D2'},{'D5'},{'D1'},{'D6'},{'R1'},{'R2'},{'D7'},{'R3'},&,2.0,&
{'D4'},{'D3'},{'D2'},{'D5'},{'D1'},{'R1'},{'D6'},{'D7'},{'R2'},{'R3'},&,5.0,&
{'D4'},{'D3'},{'D2'},{'D5'},{'D1'},{'R2'},{'D6'},{'D7'},{'R1'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D2'},{'D5'},{'D7'},{'R1'},{'D1'},{'D6'},{'R2'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D2'},{'D5'},{'D7'},{'D1'},{'D6'},{'R2'},{'R1'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D2'},{'D5'},{'R1'},{'D1'},{'D6'},{'D7'},{'R2'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D2'},{'D7'},{'D5'},{'D1'},{'D6'},{'R1'},{'R2'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D2'},{'D7'},{'D6'},{'D5'},{'D1'},{'R1'},{'R2'},{'R3'},&,2.0,&
{'D4'},{'D3'},{'D2'},{'D7'},{'D6'},{'D1'},{'D5'},{'R1'},{'R2'},{'R3'},&,3.0,&
{'D4'},{'D3'},{'D2'},{'D7'},{'D1'},{'D6'},{'D5'},{'R1'},{'R2'},{'R3'},&,5.0,&
{'D4'},{'D3'},{'D2'},{'R1'},{'D1'},{'D5'},{'D6'},{'D7'},{'R2'},{'R3'},&,2.0,&
{'D4'},{'D3'},{'D2'},{'R1'},{'D1'},{'D6'},{'D7'},{'D5'},{'R2'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D2'},{'R1'},{'D1'},{'D6'},{'D5'},{'D7'},{'R2'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D2'},{'R2'},{'D1'},{'D6'},{'D5'},{'R1'},{'D7'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D5'},{'D7'},{'R1'},{'R2'},{'D6'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D5'},{'D7'},{'R1'},{'D6'},{'R2'},{'R3'},&,2.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D5'},{'D7'},{'D6'},{'R1'},{'R2'},{'R3'},&,8.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D5'},{'D7'},{'D6'},{'R2'},{'R1'},{'R3'},&,2.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D5'},{'D6'},{'D7'},{'R1'},{'R2'},{'R3'},&,108.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D5'},{'D6'},{'D7'},{'R2'},{'R1'},{'R3'},&,12.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D5'},{'D6'},{'R2'},{'R1'},{'D7'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D5'},{'D6'},{'R2'},{'D7'},{'R1'},{'R3'},&,9.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D5'},{'D6'},{'R1'},{'D7'},{'R2'},{'R3'},&,23.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D5'},{'D6'},{'R1'},{'R2'},{'D7'},{'R3'},&,5.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D5'},{'D6'},{'R1'},{'R2'},{'R3'},{'D7'},&,2.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D5'},{'R1'},{'R2'},{'D6'},{'R3'},{'D7'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D5'},{'R1'},{'D6'},{'D7'},{'R2'},{'R3'},&,7.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D5'},{'R1'},{'D6'},{'R2'},{'D7'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D5'},{'R2'},{'R1'},{'D7'},{'D6'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D5'},{'R2'},{'D6'},{'D7'},{'R1'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D6'},{'D5'},{'D7'},{'R1'},{'R2'},{'R3'},&,274.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D6'},{'D5'},{'D7'},{'R2'},{'R1'},{'R3'},&,66.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D6'},{'D5'},{'R2'},{'R1'},{'D7'},{'R3'},&,5.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D6'},{'D5'},{'R2'},{'R1'},{'R3'},{'D7'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D6'},{'D5'},{'R2'},{'D7'},{'R1'},{'R3'},&,21.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D6'},{'D5'},{'R1'},{'D7'},{'R2'},{'R3'},&,63.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D6'},{'D5'},{'R1'},{'D7'},{'R3'},{'R2'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D6'},{'D5'},{'R1'},{'R2'},{'D7'},{'R3'},&,25.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D6'},{'D5'},{'R1'},{'R2'},{'R3'},{'D7'},&,5.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D6'},{'D7'},{'R2'},{'R1'},{'D5'},{'R3'},&,3.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D6'},{'D7'},{'R2'},{'D5'},{'R1'},{'R3'},&,2.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D6'},{'D7'},{'R1'},{'R2'},{'R3'},{'D5'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D6'},{'D7'},{'R1'},{'R2'},{'D5'},{'R3'},&,2.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D6'},{'D7'},{'R1'},{'D5'},{'R2'},{'R3'},&,19.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D6'},{'D7'},{'D5'},{'R1'},{'R2'},{'R3'},&,65.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D6'},{'D7'},{'D5'},{'R2'},{'R1'},{'R3'},&,7.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D6'},{'R1'},{'D7'},{'D5'},{'R2'},{'R3'},&,4.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D6'},{'R1'},{'R2'},{'D5'},{'D7'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D6'},{'R1'},{'D5'},{'D7'},{'R2'},{'R3'},&,15.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D6'},{'R1'},{'D5'},{'R2'},{'D7'},{'R3'},&,2.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D6'},{'R1'},{'D5'},{'R2'},{'R3'},{'D7'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D6'},{'R2'},{'D5'},{'D7'},{'R1'},{'R3'},&,5.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D7'},{'D5'},{'R2'},{'D6'},{'R1'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D7'},{'D5'},{'R1'},{'R2'},{'D6'},{'R3'},&,2.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D7'},{'D5'},{'R1'},{'D6'},{'R2'},{'R3'},&,2.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D7'},{'D5'},{'D6'},{'R1'},{'R2'},{'R3'},&,9.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D7'},{'D5'},{'D6'},{'R2'},{'R1'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D7'},{'D6'},{'R2'},{'D5'},{'R1'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D7'},{'D6'},{'R1'},{'R2'},{'D5'},{'R3'},&,2.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D7'},{'D6'},{'R1'},{'D5'},{'R2'},{'R3'},&,5.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D7'},{'D6'},{'D5'},{'R1'},{'R2'},{'R3'},&,20.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D7'},{'D6'},{'D5'},{'R2'},{'R1'},{'R3'},&,6.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D7'},{'R1'},{'D6'},{'D5'},{'R2'},{'R3'},&,2.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D7'},{'R1'},{'D5'},{'D6'},{'R2'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'D7'},{'R2'},{'D6'},{'D5'},{'R1'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'R1'},{'D5'},{'D6'},{'D7'},{'R2'},{'R3'},&,2.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'R1'},{'D6'},{'D7'},{'D5'},{'R2'},{'R3'},&,3.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'R1'},{'D6'},{'D5'},{'D7'},{'R2'},{'R3'},&,4.0,&
{'D4'},{'D3'},{'D1'},{'D2'},{'R1'},{'D6'},{'D5'},{'R2'},{'D7'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D6'},{'D5'},{'D2'},{'D7'},{'R1'},{'R2'},{'R3'},&,22.0,&
{'D4'},{'D3'},{'D1'},{'D6'},{'D5'},{'D2'},{'D7'},{'R2'},{'R1'},{'R3'},&,6.0,&
{'D4'},{'D3'},{'D1'},{'D6'},{'D5'},{'D2'},{'R2'},{'D7'},{'R1'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D6'},{'D5'},{'D2'},{'R1'},{'D7'},{'R2'},{'R3'},&,3.0,&
{'D4'},{'D3'},{'D1'},{'D6'},{'D5'},{'D2'},{'R1'},{'R2'},{'D7'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D6'},{'D5'},{'R1'},{'D2'},{'D7'},{'R2'},{'R3'},&,2.0,&
{'D4'},{'D3'},{'D1'},{'D6'},{'D5'},{'R2'},{'D2'},{'R1'},{'D7'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D6'},{'D2'},{'D5'},{'D7'},{'R1'},{'R2'},{'R3'},&,119.0,&
{'D4'},{'D3'},{'D1'},{'D6'},{'D2'},{'D5'},{'D7'},{'R2'},{'R1'},{'R3'},&,33.0,&
{'D4'},{'D3'},{'D1'},{'D6'},{'D2'},{'D5'},{'R2'},{'D7'},{'R1'},{'R3'},&,11.0,&
{'D4'},{'D3'},{'D1'},{'D6'},{'D2'},{'D5'},{'R1'},{'D7'},{'R2'},{'R3'},&,35.0,&
{'D4'},{'D3'},{'D1'},{'D6'},{'D2'},{'D5'},{'R1'},{'R2'},{'D7'},{'R3'},&,9.0,&
{'D4'},{'D3'},{'D1'},{'D6'},{'D2'},{'D5'},{'R1'},{'R2'},{'R3'},{'D7'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D6'},{'D2'},{'D7'},{'R2'},{'R1'},{'R3'},{'D5'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D6'},{'D2'},{'D7'},{'R2'},{'R1'},{'D5'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D6'},{'D2'},{'D7'},{'R2'},{'D5'},{'R1'},{'R3'},&,4.0,&
{'D4'},{'D3'},{'D1'},{'D6'},{'D2'},{'D7'},{'R1'},{'R2'},{'D5'},{'R3'},&,2.0,&
{'D4'},{'D3'},{'D1'},{'D6'},{'D2'},{'D7'},{'R1'},{'D5'},{'R2'},{'R3'},&,2.0,&
{'D4'},{'D3'},{'D1'},{'D6'},{'D2'},{'D7'},{'D5'},{'R1'},{'R2'},{'R3'},&,25.0,&
{'D4'},{'D3'},{'D1'},{'D6'},{'D2'},{'D7'},{'D5'},{'R2'},{'R1'},{'R3'},&,4.0,&
{'D4'},{'D3'},{'D1'},{'D6'},{'D2'},{'R1'},{'D7'},{'R2'},{'R3'},{'D5'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D6'},{'D2'},{'R1'},{'D7'},{'D5'},{'R2'},{'R3'},&,4.0,&
{'D4'},{'D3'},{'D1'},{'D6'},{'D2'},{'R1'},{'D5'},{'D7'},{'R2'},{'R3'},&,13.0,&
{'D4'},{'D3'},{'D1'},{'D6'},{'D2'},{'R1'},{'D5'},{'R2'},{'D7'},{'R3'},&,4.0,&
{'D4'},{'D3'},{'D1'},{'D6'},{'D2'},{'R2'},{'D7'},{'D5'},{'R1'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D6'},{'D2'},{'R2'},{'D5'},{'D7'},{'R1'},{'R3'},&,3.0,&
{'D4'},{'D3'},{'D1'},{'D6'},{'D7'},{'D5'},{'R1'},{'R2'},{'D2'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D6'},{'D7'},{'D2'},{'D5'},{'R1'},{'R2'},{'R3'},&,8.0,&
{'D4'},{'D3'},{'D1'},{'D6'},{'D7'},{'D2'},{'D5'},{'R2'},{'R1'},{'R3'},&,2.0,&
{'D4'},{'D3'},{'D1'},{'D6'},{'R1'},{'D2'},{'D5'},{'D7'},{'R2'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D5'},{'D6'},{'D2'},{'D7'},{'R1'},{'R2'},{'R3'},&,22.0,&
{'D4'},{'D3'},{'D1'},{'D5'},{'D6'},{'D2'},{'D7'},{'R2'},{'R1'},{'R3'},&,2.0,&
{'D4'},{'D3'},{'D1'},{'D5'},{'D6'},{'D2'},{'R1'},{'D7'},{'R2'},{'R3'},&,5.0,&
{'D4'},{'D3'},{'D1'},{'D5'},{'D6'},{'D2'},{'R1'},{'R2'},{'D7'},{'R3'},&,2.0,&
{'D4'},{'D3'},{'D1'},{'D5'},{'D6'},{'D2'},{'R1'},{'R2'},{'R3'},{'D7'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D5'},{'D6'},{'R1'},{'D2'},{'D7'},{'R2'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D5'},{'D6'},{'R1'},{'D2'},{'R2'},{'D7'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D5'},{'D6'},{'R2'},{'D2'},{'R1'},{'D7'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D5'},{'D6'},{'R2'},{'D2'},{'D7'},{'R1'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D5'},{'D2'},{'D7'},{'D6'},{'R1'},{'R2'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D5'},{'D2'},{'D7'},{'D6'},{'R2'},{'R1'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D5'},{'D2'},{'D6'},{'D7'},{'R1'},{'R2'},{'R3'},&,41.0,&
{'D4'},{'D3'},{'D1'},{'D5'},{'D2'},{'D6'},{'D7'},{'R2'},{'R1'},{'R3'},&,9.0,&
{'D4'},{'D3'},{'D1'},{'D5'},{'D2'},{'D6'},{'R2'},{'D7'},{'R1'},{'R3'},&,4.0,&
{'D4'},{'D3'},{'D1'},{'D5'},{'D2'},{'D6'},{'R1'},{'D7'},{'R2'},{'R3'},&,11.0,&
{'D4'},{'D3'},{'D1'},{'D5'},{'D2'},{'D6'},{'R1'},{'R2'},{'D7'},{'R3'},&,3.0,&
{'D4'},{'D3'},{'D1'},{'D5'},{'D2'},{'D6'},{'R1'},{'R2'},{'R3'},{'D7'},&,2.0,&
{'D4'},{'D3'},{'D1'},{'D5'},{'D2'},{'R1'},{'R2'},{'D7'},{'D6'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D5'},{'D2'},{'R1'},{'D6'},{'D7'},{'R2'},{'R3'},&,2.0,&
{'D4'},{'D3'},{'D1'},{'D5'},{'D2'},{'R1'},{'D6'},{'R2'},{'D7'},{'R3'},&,2.0,&
{'D4'},{'D3'},{'D1'},{'D5'},{'D2'},{'R1'},{'D6'},{'R2'},{'R3'},{'D7'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D5'},{'D7'},{'D6'},{'R1'},{'R2'},{'D2'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D5'},{'D7'},{'D2'},{'D6'},{'R1'},{'R2'},{'R3'},&,3.0,&
{'D4'},{'D3'},{'D1'},{'D5'},{'R1'},{'D6'},{'D2'},{'D7'},{'R2'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D5'},{'R1'},{'D2'},{'D6'},{'D7'},{'R2'},{'R3'},&,2.0,&
{'D4'},{'D3'},{'D1'},{'D7'},{'D5'},{'D6'},{'D2'},{'R1'},{'R2'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D7'},{'D5'},{'D2'},{'D6'},{'R1'},{'R2'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D7'},{'D5'},{'D2'},{'D6'},{'R2'},{'R1'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D7'},{'D6'},{'D2'},{'D5'},{'R1'},{'R2'},{'R3'},&,4.0,&
{'D4'},{'D3'},{'D1'},{'D7'},{'D6'},{'D2'},{'D5'},{'R2'},{'R1'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D7'},{'D6'},{'R1'},{'D2'},{'D5'},{'R2'},{'R3'},&,2.0,&
{'D4'},{'D3'},{'D1'},{'D7'},{'D2'},{'D5'},{'R1'},{'D6'},{'R2'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D7'},{'D2'},{'D5'},{'D6'},{'R1'},{'R2'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D7'},{'D2'},{'D5'},{'D6'},{'R2'},{'R1'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D7'},{'D2'},{'D6'},{'R1'},{'D5'},{'R2'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'D7'},{'D2'},{'D6'},{'D5'},{'R1'},{'R2'},{'R3'},&,5.0,&
{'D4'},{'D3'},{'D1'},{'D7'},{'D2'},{'R1'},{'D6'},{'D5'},{'R2'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'R1'},{'D6'},{'D2'},{'D5'},{'D7'},{'R2'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'R1'},{'D2'},{'D5'},{'R2'},{'D6'},{'D7'},{'R3'},&,1.0,&
{'D4'},{'D3'},{'D1'},{'R1'},{'D2'},{'D5'},{'D6'},{'R2'},{'D7'},{'R3'},&,1.0,&
